S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
1,ACLBSL,955.00,-15.00,-1.55,989.00,989.00,951.00,"7,738.00",970.00
2,ADBL,260.00,-1.00,-0.38,258.10,287.10,258.00,"22,427.00",261.00
3,AHL,508.00,8.00,1.60,505.00,525.30,500.00,"19,648.00",500.00
4,AHPC,153.30,-1.60,-1.03,155.00,155.80,153.00,"119,668.00",154.90
5,AKJCL,210.00,-2.00,-0.94,215.10,216.20,208.00,"55,957.00",212.00
6,AKPL,162.50,-1.00,-0.61,164.00,164.50,161.80,"53,584.00",163.50
7,ALBSL,953.00,-13.40,-1.39,960.00,975.00,951.00,"5,506.00",966.40
8,ALICL,560.00,-2.00,-0.36,551.00,566.00,551.00,"16,936.00",562.00
9,ANLB,"2,400.00",-100.00,-4.00,"2,450.00","2,497.00","2,382.00","1,517.00","2,500.00"
10,API,169.80,0.80,0.47,168.60,171.00,168.00,"83,716.00",169.00
11,AVYAN,903.90,3.90,0.43,900.00,920.00,896.00,"5,814.00",900.00
12,BARUN,303.00,-6.50,-2.10,308.00,310.00,296.20,"130,867.00",309.50
13,BBC,"3,890.00",-28.00,-0.71,"3,918.00","3,984.00","3,885.00",741.00,"3,918.00"
14,BEDC,401.00,-1.00,-0.25,397.00,408.00,395.00,"16,746.00",402.00
15,BFC,474.00,21.00,4.64,444.00,474.00,444.00,"102,199.00",453.00
16,BGWT,946.10,-3.90,-0.41,969.00,985.00,936.00,"22,831.00",950.00
17,BHDC,585.00,3.00,0.52,586.00,591.60,575.20,"10,581.00",582.00
18,BHL,342.00,-7.00,-2.01,352.00,352.00,338.00,"2,650.00",349.00
19,BHPL,692.00,-32.00,-4.42,723.00,723.00,672.00,"16,030.00",724.00
20,BNHC,725.90,54.80,8.17,657.70,726.00,633.00,"30,234.00",671.10
21,BNL,"15,368.00",-312.00,-1.99,"15,680.00","15,680.00","15,368.00",20.00,"15,680.00"
22,BNT,"12,700.00",-13.00,-0.10,"12,950.00","13,200.00","12,700.00",220.00,"12,713.00"
23,BPCL,292.90,0.10,0.03,295.00,295.90,289.40,"13,004.00",292.80
24,C30MF,8.56,0.01,0.12,8.72,8.72,8.56,600.00,8.55
25,CBBL,832.00,-8.00,-0.95,840.00,845.00,831.00,"14,788.00",840.00
26,CBLD88,"1,045.00",-5.00,-0.48,"1,045.00","1,045.00","1,045.00",25.00,"1,050.00"
27,CCBD88,"1,065.00",10.00,0.95,"1,065.00","1,065.00","1,065.00",25.00,"1,055.00"
28,CFCL,464.00,26.00,5.94,446.50,464.00,440.00,"104,469.00",438.00
29,CGH,840.00,-10.10,-1.19,847.00,859.90,837.00,"10,740.00",850.10
30,CHCL,436.00,2.50,0.58,432.00,440.60,431.10,"40,911.00",433.50
31,CHDC,"1,026.00",4.00,0.39,"1,040.00","1,042.00","1,020.00","42,459.00","1,022.00"
32,CHL,316.00,-2.90,-0.91,320.10,320.10,312.00,"15,068.00",318.90
33,CIT,"2,097.00",-15.20,-0.72,"2,110.00","2,112.00","2,094.00","13,796.00","2,112.20"
